mesto, sirina, duzina
Aleksandrovac
Aleksinac
Apatin, Prigrevica
Aranđelovac
Bačka Palanka
Bački Jarak
Bajina Bašta
Barajevo
Beograd, Čukarica
Beograd, Dobanovci
Beograd, Lazarevac
Beograd, Stari grad
Ćuprija
Futog
Kikinda
Koceljeva
Kučevo
Kula, Ruski Krstur
Lazarevac
Leposavić
Ljubovija
Loznica
Mladenovac
Novi Kneževac, Srpski Krstur
Odžaci
Pačir
Peć
Petrovac na Mlavi
Pirot
Požarevac
Priština
Prokuplje
Raška
Ruma
Senta
Sopot
Stara Pazova
Štrpce
Surčin, Jakovo
Svrljig
Topola
Tutin
Ub
Velika Plana
Vranje, Vranjska Banja
Vrnjačka Banja
Vršac
Žitorađa
Zubin Potok
